	id	timestamp	action_type	parent_id	parent_user_id	parent	parent_text	user_id	user_screen_name	text	geo	postTweet	keyN	pro_prob	anti_prob	neutral_prob	label	name	rawTweet	tweet_id	n_key	mentions	hashtags
0	732079919015038976	2016-05-16 05:27:08	retweet	731968553872560129	158715457.0	VeraVanHorne	Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https://t.co/iLUa2sTVeb	768899816.0	user_2	RT @VeraVanHorne: Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https:…	[]	current kiev language native power prohibited regime rt	0.0	0.0	0.0	0.0	1	ppsabengel	RT @VeraVanHorne: Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https:…	7.32079919015039e+17	8	['@VeraVanHorne', '@jamala']	[]
1	732081740051808256	2016-05-16 05:34:22	retweet	731941852769845249	4055352555.0	ESC_JR	I don't get the hate 😥Jamala won fairly and her performance was stunning 😔 she really doesn't deserve this hate 💖🇺🇦 https://t.co/1LmqIz9Qdt	2796531475.0	user_37	RT @ESC_JR: I don't get the hate 😥Jamala won fairly and her performance was stunning 😔 she really doesn't deserve this hate 💖🇺🇦 https://t.c…	[]	deserve fairly hate hate performance rt stunning won 💖🇺🇦 😥jamala	0.0	0.0	0.0	0.0	2	xLoveWavex	RT @ESC_JR: I don't get the hate 😥Jamala won fairly and her performance was stunning 😔 she really doesn't deserve this hate 💖🇺🇦 https://t.c…	7.320817400518083e+17	10	['@ESC_JR']	[]
2	732082412910485504	2016-05-16 05:37:03	retweet	731734903608516608	1463059626.0	MarcelHVanHerpe	Don't forget that #Jamala 's 1944 is again actual today...	631906810.0	user_51	RT @MarcelHVanHerpe: Don't forget that #Jamala 's 1944 is again actual today...	[]	1944 actual forget jamala rt today	0.0	0.0	0.0	0.0	2	ApollineDchamp	RT @MarcelHVanHerpe: Don't forget that #Jamala 's 1944 is again actual today...	7.320824129104855e+17	6	['@MarcelHVanHerpe']	['#Jamala']
3	732085115845648384	2016-05-16 05:47:47	reply	731935348834570242	159068666.0	CAROLE_SAMAHA	@CAROLE_SAMAHA what do you think about Ukrainian Muslim woman's win, Jamala?	554800351.0	user_84	@CAROLE_SAMAHA what do you think about Ukrainian Muslim woman's win, Jamala?	[]	jamala muslim ukrainian win woman	0.0	0.0	0.0	0.0	2	al_masani	@CAROLE_SAMAHA what do you think about Ukrainian Muslim woman's win, Jamala?	7.320851158456484e+17	5	['@CAROLE_SAMAHA']	[]
4	732085968925278208	2016-05-16 05:51:11	retweet	731916571753451521	116768508.0	Elif_Safak	Wow,this song gives me goosebumps, such powerful lyrics in English&amp;CrimeanTatar (Turkic), congratulations to @Jamala https://t.co/F6PISSERw0	2326612582.0	user_96	RT @Elif_Safak: Wow,this song gives me goosebumps, such powerful lyrics in English&amp;CrimeanTatar (Turkic), congratulations to @Jamala https:…	[]	amp congratulations crimeantatar english goosebumps lyrics powerful rt song this turkic wow	0.0	0.0	0.0	0.0	2	KeremMusic	RT @Elif_Safak: Wow,this song gives me goosebumps, such powerful lyrics in English&amp;CrimeanTatar (Turkic), congratulations to @Jamala https:…	7.320859689252782e+17	12	['@Elif_Safak', '@Jamala']	[]
5	732086372819992576	2016-05-16 05:52:47	retweet	732078242551742464	2598298903.0	StormBringer15	These words perfectly describe Ukrainian aggression in #Donbas via @AdadjoBajofondo  #Jamala #ESC2016 #Eurovision https://t.co/NEnPvShLvs	4845768045.0	user_99	RT @StormBringer15: These words perfectly describe Ukrainian aggression in #Donbas via @AdadjoBajofondo  #Jamala #ESC2016 #Eurovision https…	[]	aggression describe donbas esc2016 eurovision jamala perfectly rt ukrainian words	0.0	0.0	0.0	0.0	1	zelenyychelove	RT @StormBringer15: These words perfectly describe Ukrainian aggression in #Donbas via @AdadjoBajofondo  #Jamala #ESC2016 #Eurovision https…	7.320863728199926e+17	10	['@StormBringer15', '@AdadjoBajofondo']	['#Donbas', '#Jamala', '#ESC2016', '#Eurovision']
6	732087176306012160	2016-05-16 05:55:59	retweet	731616529926762497	35708579.0	EBU_HQ	Jamala takes the crown at 61st @Eurovision in #Stockholm #Eurovision #Congratulations #Ukraine Next year in Kyiv! https://t.co/xmwqKiAwVG	512469823.0	user_107	RT @EBU_HQ: Jamala takes the crown at 61st @Eurovision in #Stockholm #Eurovision #Congratulations #Ukraine Next year in Kyiv! https://t.co/…	[]	61st congratulations crown eurovision jamala kyiv rt stockholm takes ukraine year	0.0	0.0	0.0	0.0	2	hiadrieeele	RT @EBU_HQ: Jamala takes the crown at 61st @Eurovision in #Stockholm #Eurovision #Congratulations #Ukraine Next year in Kyiv! https://t.co/…	7.320871763060122e+17	11	['@EBU_HQ', '@Eurovision']	['#Stockholm', '#Eurovision', '#Congratulations', '#Ukraine']
7	732089485526081536	2016-05-16 06:05:09	tweet	732089485526081536	2980933206.0	dlUkraine	Ukraine crowned winners of Eurovision 2016: Image: Ukraine's Jamala reacts on winning the Eurovision Song Con... https://t.co/ljSLYNV4Y7	2980933206.0	user_131	Ukraine crowned winners of Eurovision 2016: Image: Ukraine's Jamala reacts on winning the Eurovision Song Con... https://t.co/ljSLYNV4Y7	[]	2016 con crowned eurovision eurovision image jamala reacts song ukraine ukraine winners winning	0.0	0.0	0.0	0.0	2	dlUkraine	Ukraine crowned winners of Eurovision 2016: Image: Ukraine's Jamala reacts on winning the Eurovision Song Con... https://t.co/ljSLYNV4Y7	7.320894855260815e+17	13	[]	[]
8	732092048707334144	2016-05-16 06:15:20	tweet	732092048707334144	14106476.0	KyivPost	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	14106476.0	user_154	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	[]	brings contest eurovision gallery jamala photo song ukraine victory	0.0	0.0	0.0	0.0	2	KyivPost	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	7.320920487073341e+17	9	[]	['#Jamala', '#Ukraine', '#Eurovision']
9	732092403742572544	2016-05-16 06:16:45	tweet	732092403742572544	2723320737.0	ambassadorua	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/1Hy7y9zvo2 https://t.co/3nx77Kswza	2723320737.0	user_165	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/1Hy7y9zvo2 https://t.co/3nx77Kswza	[]	brings contest eurovision gallery jamala photo song ukraine victory	0.0	0.0	0.0	0.0	2	ambassadorua	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/1Hy7y9zvo2 https://t.co/3nx77Kswza	7.320924037425725e+17	9	[]	['#Jamala', '#Ukraine', '#Eurovision']
10	732092977737306112	2016-05-16 06:19:02	retweet	732092048707334144	14106476.0	KyivPost	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	2458506475.0	user_167	RT @KyivPost: Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	[]	brings contest eurovision gallery jamala photo rt song ukraine victory	0.0	0.0	0.0	0.0	2	UA_Emb_FI	RT @KyivPost: Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	7.320929777373061e+17	10	['@KyivPost']	['#Jamala', '#Ukraine', '#Eurovision']
11	732093076584464384	2016-05-16 06:19:25	tweet	732093076584464384	316972734.0	causetrinity	Truly ALIVE #Jamala(#Ukraine winner) versus (#Putin-esque) #happiness #Lazarev #Eurovision https://t.co/ayichz1TkT https://t.co/E2FvJZHgZj	316972734.0	user_169	Truly ALIVE #Jamala(#Ukraine winner) versus (#Putin-esque) #happiness #Lazarev #Eurovision https://t.co/ayichz1TkT https://t.co/E2FvJZHgZj	[]	alive esque eurovision happiness jamala lazarev putin ukraine versus winner	0.0	0.0	0.0	0.0	2	causetrinity	Truly ALIVE #Jamala(#Ukraine winner) versus (#Putin-esque) #happiness #Lazarev #Eurovision https://t.co/ayichz1TkT https://t.co/E2FvJZHgZj	7.320930765844644e+17	10	[]	['#Jamala', '#Ukraine', '#Putin', '#happiness', '#Lazarev', '#Eurovision']
12	732093229655588866	2016-05-16 06:20:02	retweet	731914670437715968	20467453.0	pauloCanning	Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02Kb	365341838.0	user_171	RT @pauloCanning: Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02…	[]	chance fate jamala leading mp presented reformist rt ukraine ukrainian victory	0.0	0.0	0.0	0.0	2	expres_ua	RT @pauloCanning: Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02…	7.320932296555889e+17	11	['@pauloCanning']	[]
